CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
36203,0,2015,8,1,0.0,0.1111111111111111,0.0,1,0,0,0,0,0,0,0,0.36424430599451324,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),95.033,0,0,5,0,227.0,1.1050176106114036,0,4,0,0,1,4.166666666666667,2004.0,0
36205,0,2015,8,1,0.0,0.14285714285714285,0.0,1,0,0,0,0,1,0,0,-0.3628296313694537,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,Germany,Information Technology,79.447,0,0,5,0,,-0.44244937409630164,1,4,0,0,0,5.0,2000.0,0
36211,0,2015,8,1,0.0,0.1111111111111111,0.0,1,0,0,0,0,0,0,0,-0.14757019437567157,1,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Business Products and Services (B2B),94.329,0,0,3,0,227.0,-0.14757019437567157,0,1,0,0,1,3.0,,0
36217,0,2016,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,-0.08287634242666571,1,0,0,0,4.816666666666666,0,0,1,0,0,0,0,0,0,0,Switzerland,Information Technology,90.64099999999999,0,0,,0,82.66666666666667,-0.08287634242666571,0,1,0,0,3,,,0
36231,0,2015,9,1,0.0,0.1,50.0,0,1,0,0,1,0,0,0,-0.4424493740963017,2,0,0,0,0.07,1,0,0,0,0,0,0,0,0,0,Denmark,Information Technology,95.963,0,0,3,0,90.0,-0.44244937409630164,0,2,0,0,1,3.5,,0
36233,0,2017,5,1,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),93.64,2,0,,0,227.0,-0.44244937409630164,0,2,0,0,1,,,0
36234,0,2017,3,1,0.0,0.25,0.0,0,0,0,0,0,0,0,0,-0.31072759664082,3,0,0,0,0.07224194,1,0,0,0,0,0,0,1,0,0,Germany,Business Products and Services (B2B),94.846,0,0,,0,227.0,-0.04728404172985682,0,3,0,0,1,,,0
36235,1,2016,7,1,0.0,0.14285714285714285,0.0,1,0,0,0,0,0,0,0,-0.4424493740963017,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),93.951,0,0,3,0,227.0,-0.44244937409630164,0,2,0,0,1,3.0,2011.0,0
36241,0,2016,8,1,0.0,0.1111111111111111,0.0,1,1,0,0,0,0,0,0,-0.0022620135751497614,4,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Information Technology,89.69800000000001,0,0,,0,227.0,-0.44244937409630164,0,4,0,0,1,5.0,2013.0,0
36243,0,2017,4,2,0.0,0.4,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,2,0,0,0,0.07224194,1,0,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),94.41900000000001,0,0,,0,227.0,-0.44244937409630164,1,2,0,0,1,,,0
