CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
115469,1,2014,4,7,113.34489669999999,8.33333333333333,1,1,0,0,0,0,0,1,0.1390761966914666,3,1,0,0,22.453952121,1,0,1,0,0,0,0,1,1,0,99.878,5,1,0,255.5,-0.403355023220701,0,12,0,1,5,3.3127272727272716,2004.2418181818182,1,3073,12898
115470,1,2014,10,3,0.0,0.0,0,0,0,0,0,0,0,1,-0.40335502322070094,2,0,0,0,0.105,1,0,0,0,0,0,0,0,0,0,82.265,0,0,0,130.5,-0.403355023220701,0,2,0,0,2,3.0,2001.5,0,1772,7023
115471,0,2014,0,1,0.0,0.0,0,1,0,0,0,0,0,0,-0.0399595174150297,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,78.505,0,0,0,228.0,-0.0399595174150297,0,1,0,0,1,3.0,2004.0,0,7928,12898
115472,1,2013,11,4,9.77406204436252,0.0,1,0,0,0,0,0,0,0,-0.3882135438121313,2,0,0,0,0.997559323,1,0,1,0,0,0,0,1,0,0,93.7425,0,0,0,333.5,-0.403355023220701,0,3,0,1,5,4.0,2009.6666666666667,0,1959,12898
115474,0,2012,12,1,0.0,0.0,0,1,0,0,0,0,0,1,-0.27848195187360003,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,89.61,0,0,0,228.0,-0.403355023220701,0,3,0,0,1,4.0,2013.0,0,7928,12898
115475,0,2013,5,1,0.0,0.0,1,1,0,1,0,0,0,1,-0.403355023220701,3,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,96.76,1,0,0,228.0,-0.403355023220701,0,3,0,0,1,4.0,2006.3333333333298,1,1024,5062
115476,0,2014,10,1,0.0,50.0,1,0,0,0,0,0,0,0,-0.40335502322070094,2,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,89.925,0,0,0,228.0,-0.403355023220701,0,2,0,0,1,3.1363636363636362,2007.409090909091,0,7928,7023
115477,0,2012,6,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.34278910558642234,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,89.64,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,3.1666666666666665,2006.0,1,7928,12898
115478,0,2013,11,2,0.0,100.0,0,0,0,0,0,0,0,1,-0.403355023220701,1,0,0,1,0.1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,228.0,-0.403355023220701,0,1,0,0,1,4.0,2010.0,0,7928,7023
115479,1,2013,4,1,0.0,0.0,1,1,0,0,0,0,0,1,-0.312506146769283,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,94.64999999999999,3,0,0,228.0,-0.403355023220701,0,4,0,0,1,3.5,2004.75,1,7928,12898
115480,0,2013,9,5,1.0,0.0,1,0,0,0,0,0,0,0,-0.04536672161560994,2,0,0,1,1.28606615,1,0,1,0,1,0,1,1,0,0,94.98,0,0,0,612.678571428571,-0.0287358091793985,1,2,0,0,14,3.9200000000000004,2010.946666666666,0,7928,7023
115482,0,2012,12,2,1.5530309500000001,0.0,0,0,0,1,0,0,0,0,-0.03995951741502969,1,0,0,0,0.416666666666667,1,1,1,0,0,0,0,0,0,0,92.4425,0,0,0,509.0,-0.0399595174150297,0,1,0,0,3,3.0,2001.0,0,7928,12898
115483,0,2011,4,1,0.01886469,0.0,1,0,0,1,1,0,0,0,0.0160966087983221,5,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,700.0,-0.0399595174150297,0,5,0,0,1,4.0,2005.0,0,7928,12898
115484,0,2011,3,1,0.03956444,0.0,0,0,0,0,0,0,0,0,-0.0623823305034073,2,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,700.0,0.278590362213887,0,2,0,0,1,,,0,7928,12898
115485,1,2012,12,2,0.0,50.0,0,0,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,2.33807643,1,0,1,0,0,0,0,0,0,0,0.0,0,0,1,46.0,-0.403355023220701,0,2,0,0,1,3.0,,0,3073,5062
115486,0,2013,1,1,0.0,12.5,0,1,0,1,0,0,0,1,-0.220254306788412,8,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,90.0,0,0,0,700.0,-0.403355023220701,0,8,0,0,1,3.85714285714286,2011.57142857143,0,7928,12898
115487,0,2013,2,1,0.03,0.0,0,1,0,0,0,0,0,0,-0.2822231879521437,1,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,90.95,0,0,0,700.0,-0.403355023220701,0,1,0,0,1,3.6666666666666665,2015.6666666666667,0,7928,12898
115488,0,2012,12,1,0.0,0.0,1,0,0,0,0,0,0,1,-0.403355023220701,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,3.0,2000.0,0,7928,7023
115489,0,2013,6,2,0.01113617,0.0,1,0,0,0,0,0,0,1,-0.0399595174150297,2,0,0,0,0.095,1,0,0,0,0,0,0,1,0,0,94.19,0,0,0,178.5,-0.0399595174150297,0,2,0,0,2,4.0,2001.5,0,7928,12898
115490,0,2014,9,1,0.01932141,25.0,1,1,0,0,0,0,0,0,-0.3779173378143039,0,0,0,0,0.09,1,0,1,0,0,0,0,0,0,0,94.02000000000001,0,0,0,700.0,-0.0399595174150297,0,4,0,0,1,2.133333333333333,2016.0916666666672,0,7928,12898
115491,0,2014,3,1,0.034288220335876,0.0,1,0,0,0,0,0,0,1,-0.312506146769283,1,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,700.0,-0.403355023220701,0,1,0,0,1,3.75,2003.75,0,7928,12898
115492,0,2014,10,5,0.33135573,0.0,1,0,0,0,1,0,0,1,0.4603560117791137,4,0,0,0,0.191316730833333,1,0,1,1,0,0,1,0,0,0,89.19,0,0,0,185.0,-0.0287358091793985,1,4,1,0,8,3.3636363636363638,1990.2121212121235,0,6296,7023
115493,0,2014,3,1,0.0,0.0,1,0,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,0.09,1,0,1,0,0,0,0,0,0,0,91.02000000000001,0,0,0,700.0,-0.403355023220701,0,1,0,0,1,3.0,1994.0,0,6296,12898
115494,0,2014,2,1,0.018,0.0,0,1,0,0,0,0,0,1,-0.16176607639802434,2,0,0,0,0.09,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0,700.0,0.217873697180467,0,2,0,0,1,4.0,2011.5,0,7928,12898
115495,0,2012,2,2,0.0,0.0,0,0,0,0,0,0,0,1,-0.282223187952144,3,0,0,0,1.40246305,1,0,1,0,0,0,1,1,0,0,95.59,1,0,0,240.5,-0.0399595174150297,0,3,0,0,2,4.33333333333333,2002.0,0,7928,12898
115496,0,2012,1,1,0.0,50.0,1,0,0,1,0,0,0,0,-0.312506146769283,4,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,88.095,0,0,0,228.0,-0.403355023220701,0,4,0,0,1,3.33333333333333,2009.66666666667,0,7928,12898
115497,0,2011,2,1,0.0,0.0,0,0,0,0,0,0,0,1,-0.221657270317865,2,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,,0,2,0,0,1,3.5,1995.5,0,7928,12898
115498,0,2012,3,1,0.0,0.0,0,1,0,0,0,0,0,0,-0.196278783086978,3,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,-0.403355023220701,0,3,0,0,1,3.33333333333333,2004.0,0,7928,12898
115499,1,2010,14,7,14.695440653232922,0.0,0,0,0,1,0,0,0,0,-0.3276942205091936,2,0,0,0,3.121734414,1,0,1,0,0,0,0,0,0,0,94.2,0,0,0,92.0,-0.403355023220701,1,6,0,1,5,3.2666666666666666,1987.0,0,1772,12898
115502,0,2011,10,5,9.794705271531399,0.0,1,1,1,0,1,0,0,0,0.5457183745058949,3,0,0,0,2.46349129,1,1,1,0,0,0,1,1,1,0,0.0,0,0,0,91.1666666666667,-0.0287358091793985,0,11,0,1,6,4.137857142857142,1995.428571428575,0,7928,12898
115503,1,2012,12,3,2.08127576,0.0,1,1,0,0,0,0,0,1,-0.05116682339540463,2,0,0,0,0.5666417425,1,0,1,0,0,0,0,0,0,0,86.19,0,0,0,174.5,0.278590362213887,0,4,0,0,4,3.7820512820512824,2009.0128205128208,0,7928,7023
115505,0,2010,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0.010733004214044328,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,4.0,1997.0,0,7928,12898
115506,0,2011,2,1,0.0,100.0,0,0,0,0,0,0,0,1,-0.403355023220701,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,86.21,0,0,0,228.0,,0,1,0,0,1,4.0,2010.0,0,7928,7023
115507,1,2012,8,5,1.027494526710551,0.0,0,0,0,1,0,0,1,0,0.24636135643258872,2,0,0,0,0.376370515357143,1,0,1,0,0,0,0,0,0,0,92.22200000000001,0,0,0,1083.28571428571,-0.0399595174150297,0,3,0,0,7,3.0,2002.3796296296289,0,1290,12898
115508,0,2012,3,3,0.06607633,0.0,0,1,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.333028515,1,0,1,0,0,0,1,1,0,0,84.79,0,0,0,125.0,-0.403355023220701,0,2,0,0,2,3.0,2005.5,0,7928,12898
115509,0,2010,4,2,0.0,0.0,0,0,0,0,0,0,1,0,-0.649964529580567,0,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,-0.649964529580567,0,1,0,0,1,4.0,2004.0,0,7928,12898
115510,0,2010,1,1,0.0,0.0,0,0,0,1,0,0,0,0,-0.0399595174150297,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,83.94,0,0,0,228.0,-0.0399595174150297,0,1,0,0,1,4.0,2010.0,0,7928,12898
115511,1,2010,7,1,0.0,100.0,1,0,0,0,0,0,0,1,-0.09897691181214284,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,74.21,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,3.8125,1994.0,0,7928,7023
115512,0,2010,7,2,0.0,100.0,0,0,0,1,0,0,0,0,-0.40335502322070094,1,0,0,0,0.082882565,1,0,0,0,0,0,0,1,0,0,92.43,0,0,1,215.0,-0.403355023220701,0,1,0,0,2,4.0,2009.0,0,7928,12898
115513,0,2011,1,1,0.1125,0.0,0,0,0,0,0,0,0,0,-0.0751469478184212,3,0,0,0,0.15,1,0,0,0,0,0,0,1,0,0,96.38,0,0,0,16.0,-0.0399595174150297,0,3,0,0,1,,,0,7928,12898
115514,0,2011,3,2,0.884020667702211,0.0,0,1,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,0.51,1,0,0,0,1,0,0,1,0,0,90.72333333333331,0,0,0,12.0,-0.403355023220701,1,3,0,0,2,3.0,,0,7928,12898
115516,0,2009,2,1,0.0,0.0,1,0,0,0,0,0,0,0,-0.0399595174150297,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,86.05,0,0,0,228.0,-0.0399595174150297,0,1,0,0,1,4.0,2001.0,0,7928,12898
115517,0,2010,1,1,0.0,0.0,1,0,0,0,0,0,0,0,0.217873697180467,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,0.217873697180467,0,1,0,0,1,3.0,2003.0,0,7928,12898
115518,0,2010,3,1,0.0,0.0,0,1,0,1,0,0,0,0,0.11815358974417,4,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,89.58,0,0,0,228.0,-0.0399595174150297,0,4,0,0,1,3.25,2004.0,0,7928,12898
115519,0,2010,14,1,0.0,0.0,0,0,0,0,0,0,0,1,-0.403355023220701,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,95.03,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,3.25,2000.5,0,7928,12898
115521,0,2010,5,1,0.0,0.0,1,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,81.19,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,3.0,2000.0,0,7928,12898
115522,0,2009,8,2,0.627924608346667,0.0,1,0,1,0,0,0,0,0,0.31818431468770686,2,0,0,0,0.4,1,0,0,0,0,0,0,1,0,0,88.875,0,0,0,113.0,0.59249291122177,0,3,0,0,3,4.1309523809523805,2010.5476190476172,0,7928,3504
115523,0,2009,12,1,0.0,0.0,0,0,1,0,0,0,0,1,-0.03621828133648599,3,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,98.12,0,0,0,228.0,-0.0399595174150297,0,3,0,0,1,4.0,2009.3333333333298,0,7928,12898
115524,0,2011,9,2,0.01489807,50.0,0,0,0,1,1,0,0,0,-0.2398270456081487,2,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,89.04,0,0,1,228.0,-0.403355023220701,0,2,1,0,1,3.85,2008.15,0,1772,3504
115525,0,2010,2,2,0.180641174465991,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.135,1,0,1,0,0,0,1,1,0,0,80.41,0,0,0,137.5,-0.403355023220701,0,1,0,0,2,,,0,7928,12898
115526,0,2011,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.0399595174150297,0,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,228.0,-0.0399595174150297,0,1,0,0,1,3.0,2005.0,0,7928,5062
